nohup: ignoring input
>>> Arguments:
	             algo : fedavg4
	       batch_size : 64
	clients_per_round : 10
	          dataset : mnist_all_data_1_random_niid
	           device : 0
	              dis : 
	       eval_every : 5
	 finetune_dataset : mnist-m
	  finetune_epochs : 60
	      finetune_lr : 0.01
	      finetune_wd : 0.0
	              gpu : True
	      input_shape : (1, 28, 28)
	               lr : 0.1
	            model : LeNet
	        noaverage : False
	          noprint : False
	        num_class : 10
	        num_epoch : 5
	        num_round : 1000
	             seed : 0
	               wd : 0.001
Test 0:
Initialize model_flag
Freeze model_flag
Finetune dataset is mnist-m
Training model_flag...
Epoch:001, Trn_loss:0.0017, Trn_acc:0.3409, Tst_loss:0.0076, Tst_acc:0.3491
Epoch:002, Trn_loss:0.0020, Trn_acc:0.3339, Tst_loss:0.0097, Tst_acc:0.3504
Epoch:003, Trn_loss:0.0016, Trn_acc:0.3488, Tst_loss:0.0102, Tst_acc:0.3586
Epoch:004, Trn_loss:0.0021, Trn_acc:0.3550, Tst_loss:0.0086, Tst_acc:0.3647
Epoch:005, Trn_loss:0.0017, Trn_acc:0.3669, Tst_loss:0.0092, Tst_acc:0.3716
Epoch:006, Trn_loss:0.0016, Trn_acc:0.3545, Tst_loss:0.0091, Tst_acc:0.3645
Epoch:007, Trn_loss:0.0020, Trn_acc:0.3787, Tst_loss:0.0078, Tst_acc:0.3836
Epoch:008, Trn_loss:0.0018, Trn_acc:0.3720, Tst_loss:0.0081, Tst_acc:0.3762
Epoch:009, Trn_loss:0.0017, Trn_acc:0.3776, Tst_loss:0.0090, Tst_acc:0.3842
Epoch:010, Trn_loss:0.0019, Trn_acc:0.3666, Tst_loss:0.0066, Tst_acc:0.3666
Epoch:011, Trn_loss:0.0020, Trn_acc:0.3753, Tst_loss:0.0083, Tst_acc:0.3826
Epoch:012, Trn_loss:0.0018, Trn_acc:0.3718, Tst_loss:0.0088, Tst_acc:0.3755
Epoch:013, Trn_loss:0.0019, Trn_acc:0.3697, Tst_loss:0.0097, Tst_acc:0.3717
Epoch:014, Trn_loss:0.0018, Trn_acc:0.3541, Tst_loss:0.0092, Tst_acc:0.3568
Epoch:015, Trn_loss:0.0017, Trn_acc:0.3633, Tst_loss:0.0096, Tst_acc:0.3632
